commodity,exchange,report_date,contract_spec,subreport,open_interest,change_open_interest,change_prod_long,change_prod_short,change_swap_long,change_swap_short,change_swap_spreading,change_mm_long,change_mm_short,change_mm_spreading,change_other_long,change_other_short,change_other_spreading,prod_long,prod_short,swap_long,swap_short,swap_spreading,mm_long,mm_short,mm_spreading,other_long,other_short,other_spreading,traders_prod_long,traders_prod_short,traders_swap_long,traders_swap_short,traders_swap_spreading,traders_mm_long,traders_mm_short,traders_mm_spreading,traders_other_long,traders_other_short,traders_other_spreading,largest_gross_4_long,largest_gross_4_short,largest_gross_8_long,largest_gross_8_short,largest_net_4_long,largest_net_4_short,largest_net_8_long,largest_net_8_short
CANOLA,ICE FUTURES U.S.,"July 29, 2025",,Other,1755,-1085,-2092,6386,-1220,256,-4,5105,-3965,-2191,-97,-1105,-1285,1286,947,0,566,0,3,0,0,431,204,6,6,8,0.0,,0.0,,0.0,0.0,4.0,6.0,,75.5,85.2,97.0,95.7,75.5,85.2,97.0,95.6
COTTON NO. 2,ICE FUTURES U.S.,"July 29, 2025",,All,223445,4617,1424,765,-414,269,1187,1307,1304,513,-608,-1006,1106,44752,59734,54802,12908,7024,30239,71691,32417,34738,20135,8205,53,41,27.0,7.0,15.0,48.0,82.0,55.0,45.0,36.0,27.0,12.8,15.1,22.1,23.1,12.0,14.6,20.6,21.9
COTTON NO. 2,ICE FUTURES U.S.,"July 29, 2025",,Old,211552,4617,1424,765,-414,269,1187,1307,1304,513,-608,-1006,1106,39901,54745,52602,9922,5229,29793,71541,31906,35133,20609,6445,50,40,28.0,6.0,11.0,47.0,82.0,54.0,44.0,37.0,25.0,12.1,15.0,21.5,23.4,11.6,14.6,20.2,22.3
COTTON NO. 2,ICE FUTURES U.S.,"July 29, 2025",,Other,11893,4617,1424,765,-414,269,1187,1307,1304,513,-608,-1006,1106,4851,4989,3984,4770,11,957,661,0,1352,1273,13,17,14,6.0,11.0,,8.0,5.0,0.0,7.0,8.0,,58.4,38.6,73.4,59.7,58.3,38.4,73.3,59.5
FRZN CONCENTRATED ORANGE JUICE,ICE FUTURES U.S.,"July 29, 2025",,All,8311,-4,-126,15,-7,0,-3,288,-181,-11,-57,83,145,2406,5811,423,0,98,2328,54,4,1481,657,173,9,7,,0.0,,7.0,,,6.0,6.0,4.0,33.6,59.7,51.3,73.1,33.6,54.8,50.4,68.2
FRZN CONCENTRATED ORANGE JUICE,ICE FUTURES U.S.,"July 29, 2025",,Old,7048,-4,-126,15,-7,0,-3,288,-181,-11,-57,83,145,1708,4932,268,77,21,2162,54,4,1481,415,172,8,7,,,,7.0,,,6.0,6.0,4.0,35.3,59.1,54.3,71.9,35.3,53.9,52.1,66.7
FRZN CONCENTRATED ORANGE JUICE,ICE FUTURES U.S.,"July 29, 2025",,Other,1263,-4,-126,15,-7,0,-3,288,-181,-11,-57,83,145,698,879,232,0,0,166,0,0,1,243,0,7,4,,0.0,0.0,,0.0,0.0,,,0.0,64.5,82.0,84.2,88.8,64.5,82.0,84.2,88.8
COCOA,ICE FUTURES U.S.,"July 29, 2025",,All,93823,620,-3449,234,3567,566,800,1307,-438,-512,-254,-33,-378,21741,43826,14409,5278,4260,17702,6904,12245,6982,7924,6567,25,27,15.0,5.0,11.0,42.0,14.0,31.0,20.0,19.0,23.0,15.7,25.0,25.2,37.1,13.4,20.2,20.6,30.0
COCOA,ICE FUTURES U.S.,"July 29, 2025",,Old,31200,620,-3449,234,3567,566,800,1307,-438,-512,-254,-33,-378,4957,10446,6335,3485,0,10592,7927,734,4263,4994,0,12,20,11.0,7.0,0.0,31.0,18.0,9.0,15.0,19.0,0.0,25.0,26.4,39.2,40.2,25.0,25.2,38.1,38.5
COCOA,ICE FUTURES U.S.,"July 29, 2025",,Other,62623,620,-3449,234,3567,566,800,1307,-438,-512,-254,-33,-378,16784,33380,9120,2839,3214,13385,5252,5236,5895,6106,3391,23,21,13.0,6.0,7.0,29.0,15.0,20.0,17.0,13.0,20.0,18.2,30.2,28.4,44.9,15.3,27.3,25.0,41.6
SUGAR NO. 11,ICE FUTURES U.S.,"July 29, 2025",,All,872591,6086,716,4238,-297,1265,-1062,1427,1505,6146,-711,1630,-2560,298562,278788,129391,82218,31613,123222,215721,92117,76255,45904,56520,52,46,15.0,11.0,16.0,41.0,54.0,54.0,44.0,15.0,30.0,15.2,18.7,24.4,30.3,10.1,13.7,16.3,22.8
SUGAR NO. 11,ICE FUTURES U.S.,"July 29, 2025",,Old,872591,6086,716,4238,-297,1265,-1062,1427,1505,6146,-711,1630,-2560,298562,278788,129391,82218,31613,123222,215721,92117,76255,45904,56520,52,46,15.0,11.0,16.0,41.0,54.0,54.0,44.0,15.0,30.0,15.2,18.7,24.4,30.3,10.1,13.7,16.3,22.8
SUGAR NO. 11,ICE FUTURES U.S.,"July 29, 2025",,Other,0,6086,716,4238,-297,1265,-1062,1427,1505,6146,-711,1630,-2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COFFEE C,ICE FUTURES U.S.,"July 29, 2025",,All,155650,2805,-592,-1611,510,-38,536,-620,173,194,152,630,2344,36366,58610,22031,30037,4838,38242,11918,19601,11012,7490,16364,65,72,19.0,24.0,21.0,64.0,31.0,52.0,36.0,37.0,43.0,11.4,18.3,20.6,29.3,10.4,15.8,17.1,24.5
COFFEE C,ICE FUTURES U.S.,"July 29, 2025",,Old,61039,2805,-592,-1611,510,-38,536,-620,173,194,152,630,2344,8091,28840,6138,15635,16,26159,6657,830,16264,5676,68,31,58,13.0,27.0,,60.0,26.0,22.0,42.0,33.0,,16.6,31.4,27.7,45.2,16.6,31.4,26.7,45.2
COFFEE C,ICE FUTURES U.S.,"July 29, 2025",,Other,94611,2805,-592,-1611,510,-38,536,-620,173,194,152,630,2344,28275,29770,17997,16506,2718,18305,11483,12549,5998,13064,5046,58,59,18.0,20.0,14.0,44.0,32.0,30.0,26.0,33.0,27.0,15.7,14.5,25.7,26.6,13.2,13.4,22.1,24.1
